run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,trial,decode_step,stage,graph_mode,timing_method,elapsed_us,status,error,topk_sorted,context_len_actual,block_kv,steps,group_size,warmup,config_id
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,0,,score,eager,cuda_event_grouped_2,45.712,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,1,,score,eager,cuda_event_grouped_2,43.312,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,2,,score,eager,cuda_event_grouped_2,44.704,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,3,,score,eager,cuda_event_grouped_2,42.592,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,4,,score,eager,cuda_event_grouped_2,42.24,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,5,,score,eager,cuda_event_grouped_2,42.272,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,6,,score,eager,cuda_event_grouped_2,42.704,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,7,,score,eager,cuda_event_grouped_2,42.176,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,8,,score,eager,cuda_event_grouped_2,42.384,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,9,,score,eager,cuda_event_grouped_2,41.744,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,10,,score,eager,cuda_event_grouped_2,41.648,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,11,,score,eager,cuda_event_grouped_2,43.744,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,12,,score,eager,cuda_event_grouped_2,42.08,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,13,,score,eager,cuda_event_grouped_2,42.464,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,14,,score,eager,cuda_event_grouped_2,41.968,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,15,,score,eager,cuda_event_grouped_2,41.6,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,16,,score,eager,cuda_event_grouped_2,41.616,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,17,,score,eager,cuda_event_grouped_2,41.456,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,18,,score,eager,cuda_event_grouped_2,42.24,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,19,,score,eager,cuda_event_grouped_2,42.064,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,20,,score,eager,cuda_event_grouped_2,43.52,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,21,,score,eager,cuda_event_grouped_2,41.904,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,22,,score,eager,cuda_event_grouped_2,41.952,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,23,,score,eager,cuda_event_grouped_2,42.112,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,24,,score,eager,cuda_event_grouped_2,41.728,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,25,,score,eager,cuda_event_grouped_2,41.792,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,26,,score,eager,cuda_event_grouped_2,41.44,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,27,,score,eager,cuda_event_grouped_2,41.888,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full-v2,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,28,,score,eager,cuda_event_grouped_2,42.144,ok,,0,8192,,,2,20,torch_bf16|fixed|B1|N8192
