run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,trial,decode_step,stage,graph_mode,timing_method,elapsed_us,status,error,context_len_actual,block_kv,steps,group_size,warmup,config_id
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,0,,score,eager,cuda_event_grouped_2,41.488,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,1,,score,eager,cuda_event_grouped_2,39.68,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,2,,score,eager,cuda_event_grouped_2,39.552,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,3,,score,eager,cuda_event_grouped_2,40.8,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,4,,score,eager,cuda_event_grouped_2,38.624,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,5,,score,eager,cuda_event_grouped_2,38.416,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,6,,score,eager,cuda_event_grouped_2,38.688,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,7,,score,eager,cuda_event_grouped_2,38.848,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,8,,score,eager,cuda_event_grouped_2,38.608,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,9,,score,eager,cuda_event_grouped_2,38.976,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,10,,score,eager,cuda_event_grouped_2,38.24,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,11,,score,eager,cuda_event_grouped_2,38.512,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,12,,score,eager,cuda_event_grouped_2,42.288,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,13,,score,eager,cuda_event_grouped_2,38.64,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,14,,score,eager,cuda_event_grouped_2,39.344,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,15,,score,eager,cuda_event_grouped_2,38.288,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,16,,score,eager,cuda_event_grouped_2,38.144,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
