run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,score,eager,cuda_event_grouped_2,ok,,100,20,2,38.008,38.0859,36.864,39.9336,42.4165,1.13634,1.232,0.0298363,,26310.3,47596032,56623104,,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,55.136,56.512,51.584,63.2352,63.4752,4.37317,9.736,0.0773849,,18137,42377728,56623104,,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,combined,eager,cuda_event_per_iter,ok,,100,20,1,94.176,94.281,83.84,101.858,102.824,4.61968,5.832,0.0489991,,10618.4,47596032,56623104,8966.82,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,score,cudagraph,cuda_event_grouped_3,ok,,100,20,3,19.6267,19.6341,19.488,19.7237,19.8263,0.115447,0.0853327,0.00587993,,50951.1,109463040,148897792,,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,select,cudagraph,cuda_event_per_iter,ok,,100,20,1,52.944,53.6256,48.864,60.512,60.6406,4.2805,9.984,0.079822,,18887.9,109479424,150994944,,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,combined,cudagraph,cuda_event_per_iter,ok,,100,20,1,68.176,68.6291,61.696,75.2336,76.5878,3.501,4.376,0.0510133,,14667.9,143033856,184549376,8966.82,,,torch_bf16|fixed|B1|N8192
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,score,eager,cuda_event_grouped_2,ok,,100,20,2,38.688,38.981,38.208,40.224,43.1832,1.06769,0.383999,0.0273899,,25847.8,158024192,203423744,,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,87.984,91.991,83.264,107.552,108.778,9.00283,14.52,0.0978664,,11365.7,147563008,203423744,,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,combined,eager,cuda_event_per_iter,ok,,100,20,1,131.856,131.985,117.344,145.122,148.175,7.12978,10.208,0.0540196,,7584.03,158024192,203423744,271.36,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,score,cudagraph,cuda_event_grouped_2,ok,,100,20,2,26.88,26.9034,26.416,27.1536,27.6194,0.183832,0.148001,0.00683305,,37202.4,181093888,213909504,,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,select,cudagraph,cuda_event_per_iter,ok,,100,20,1,85.2,89.1136,80.352,104.64,104.737,8.91901,14.648,0.100086,,11737.1,181110272,216006656,,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,16384,128,64,2048,0,combined,cudagraph,cuda_event_per_iter,ok,,100,20,1,114.112,113.738,96.864,123.165,125.189,6.41102,8.44,0.0563665,,8763.32,214664704,251658240,271.36,,,torch_bf16|fixed|B1|N16384
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,score,eager,cuda_event_grouped_2,ok,,100,20,2,47.728,47.7954,47.2,48.6096,49.4965,0.43805,0.327999,0.00916511,,20952.1,244662784,270532608,,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,73.536,73.6845,72.064,74.4768,76.7213,1.3047,0.831999,0.0177066,,13598.8,223737344,270532608,,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,combined,eager,cuda_event_per_iter,ok,,100,20,1,122.88,122.982,121.376,124.45,125.25,0.792002,0.831999,0.00643996,,8138.02,244662784,270532608,247.296,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,score,cudagraph,cuda_event_grouped_2,ok,,100,20,2,40.16,40.1371,39.2,40.5128,40.6331,0.307802,0.324002,0.00766876,,24900.4,257246720,281018368,,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,select,cudagraph,cuda_event_grouped_2,ok,,100,20,2,49.92,49.8955,49.472,50.064,50.2918,0.162779,0.196001,0.0032624,,20032.1,257263104,283115520,,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,combined,cudagraph,cuda_event_per_iter,ok,,100,20,1,92.88,92.8797,91.104,94.176,94.336,0.73427,1.056,0.0079056,,10766.6,290817536,318767104,247.296,,,torch_bf16|fixed|B1|N32768
dsa-full,dsa,fixed,torch_bf16,,bf16,1,65536,128,64,2048,0,score,eager,cuda_event_per_iter,ok,,100,20,1,103.952,104.1,102.752,105.488,107.716,0.903324,0.711998,0.00867742,,9619.82,329859584,371195904,,,,torch_bf16|fixed|B1|N65536
dsa-full,dsa,fixed,torch_bf16,,bf16,1,65536,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,76.608,76.6438,75.52,77.4736,78.0538,0.517572,0.639997,0.00675294,,13053.5,308950528,371195904,,,,torch_bf16|fixed|B1|N65536
