probe,batch,n,k,latency_us,multiblock
vs_N,1,4096,2048,23.6,False
vs_N,1,8192,2048,39.22,False
vs_N,1,12288,2048,55.73,False
vs_N,1,16384,2048,91.71,False
vs_N,1,19000,2048,78.34,False
vs_N,1,20000,2048,67.41,True
vs_N,1,20480,2048,70.04,True
vs_N,1,24576,2048,68.44,True
vs_N,1,32768,2048,65.86,True
vs_N,1,65536,2048,68.63,True
vs_N,1,131072,2048,75.56,True
switch_point,1,20018,64,,
switch_point,20,20018,64,,
switch_point,21,10027,64,,
switch_point,40,10027,64,,
switch_point,41,8021,64,,
switch_point,80,8021,64,,
switch_point,81,5011,64,,
switch_point,200,3006,64,,
switch_point,1000,808,64,,
batch_scaling,1,16384,2048,86.13,False
batch_scaling,1,20480,2048,65.36,True
batch_scaling,2,16384,2048,86.84,False
batch_scaling,2,20480,2048,70.99,True
batch_scaling,4,16384,2048,90.1,False
batch_scaling,4,20480,2048,67.18,True
batch_scaling,8,16384,2048,91.85,False
batch_scaling,8,20480,2048,71.53,True
batch_scaling,16,16384,2048,91.91,False
batch_scaling,16,20480,2048,71.67,True
batch_scaling,20,16384,2048,99.28,False
batch_scaling,20,20480,2048,74.07,True
tier_boundary,20,16384,2048,95.64,False
tier_boundary,21,16384,2048,71.56,True
