run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,trial,decode_step,stage,graph_mode,timing_method,elapsed_us,status,error,context_len_actual,block_kv,steps,group_size,warmup,config_id
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,0,,score,eager,cuda_event_grouped_2,41.936,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,1,,score,eager,cuda_event_grouped_2,39.776,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,2,,score,eager,cuda_event_grouped_2,39.008,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,3,,score,eager,cuda_event_grouped_2,39.024,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,4,,score,eager,cuda_event_grouped_2,38.896,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,5,,score,eager,cuda_event_grouped_2,39.056,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,6,,score,eager,cuda_event_grouped_2,38.592,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,7,,score,eager,cuda_event_grouped_2,38.704,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,8,,score,eager,cuda_event_grouped_2,38.944,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,9,,score,eager,cuda_event_grouped_2,38.592,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,10,,score,eager,cuda_event_grouped_2,40.144,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,11,,score,eager,cuda_event_grouped_2,38.848,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,12,,score,eager,cuda_event_grouped_2,38.768,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,13,,score,eager,cuda_event_grouped_2,39.088,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,14,,score,eager,cuda_event_grouped_2,38.592,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,15,,score,eager,cuda_event_grouped_2,38.544,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,16,,score,eager,cuda_event_grouped_2,38.208,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,17,,score,eager,cuda_event_grouped_2,38.288,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,18,,score,eager,cuda_event_grouped_2,40,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,19,,score,eager,cuda_event_grouped_2,38.528,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,20,,score,eager,cuda_event_grouped_2,39.632,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,21,,score,eager,cuda_event_grouped_2,38.672,ok,,8192,,,2,20,torch_bf16|fixed|B1|N8192
