run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,score,eager,cuda_event_grouped_2,ok,,100,20,2,38.176,38.2525,36.944,40.0072,43.6709,1.33218,1.384,0.0348259,,26194.5,47596032,56623104,,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,54.896,55.7786,51.264,62.5296,62.9171,4.1928,8.976,0.0751687,,18216.3,42377728,56623104,,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,combined,eager,cuda_event_per_iter,ok,,100,20,1,93.2,93.471,84.064,101.442,104.436,4.63629,5.76,0.0496014,,10729.6,47596032,56623104,9450.53,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,score,cudagraph,cuda_event_grouped_3,ok,,100,20,3,19.552,19.5573,19.392,19.7019,19.7773,0.0847183,0.0986674,0.00433179,,51145.7,109463040,148897792,,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,select,cudagraph,cuda_event_per_iter,ok,,100,20,1,52.336,53.2051,48.416,59.9696,60.0646,4.24153,9.936,0.0797204,,19107.3,109479424,150994944,,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,8192,128,64,2048,0,combined,cudagraph,cuda_event_per_iter,ok,,100,20,1,67.856,68.2115,61.696,74.5936,76.0458,3.51783,3.96,0.0515724,,14737.1,143033856,184549376,9450.53,,,torch_bf16|fixed|B1|N8192
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,score,eager,cuda_event_grouped_2,ok,,100,20,2,47.64,47.805,47.024,48.5,49.7557,1.03203,0.452,0.0215883,,20990.8,177553920,203423744,,,,torch_bf16|fixed|B1|N32768
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,select,eager,cuda_event_per_iter,ok,,100,20,1,72.672,72.8064,71.552,73.9968,76.1645,0.965265,0.703998,0.013258,,13760.5,156628480,203423744,,,,torch_bf16|fixed|B1|N32768
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,combined,eager,cuda_event_per_iter,ok,,100,20,1,121.904,122.187,120.064,123.8,127.884,1.42129,0.815999,0.0116322,,8203.18,177553920,203423744,273.6,,,torch_bf16|fixed|B1|N32768
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,score,cudagraph,cuda_event_grouped_2,ok,,100,20,2,40.208,40.2538,39.44,40.784,41.7285,0.47468,0.428,0.0117922,,24870.7,190137856,213909504,,,,torch_bf16|fixed|B1|N32768
dsa-quick,dsa,fixed,torch_bf16,,bf16,1,32768,128,64,2048,0,select,cudagraph,cuda_event_grouped_2,ok,,100,20,2,49.072,49.2656,48.784,49.2016,50.1178,2.06895,0.128001,0.0419958,,20378.2,190154240,216006656,,,,torch_bf16|fixed|B1|N32768
