run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,topk_sorted,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,indexer_score,eager,cuda_event_grouped_3,ok,,100,20,3,17.6587,17.8803,17.216,20.1931,20.9004,0.791449,0.434666,0.0442637,,0,56629.4,10042880,96468992,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,indexer_select,eager,cuda_event_per_iter,ok,,100,20,1,56.688,56.8682,56.224,57.104,60.1443,0.987875,0.232002,0.0173713,,0,17640.4,10033664,96468992,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,index_map,eager,cuda_event_grouped_2,ok,,100,20,2,31.68,31.911,30.272,34.4032,35.1736,1.13503,1.296,0.0355687,,0,31565.7,10017280,96468992,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,sparse_mla_attend,eager,cuda_event_grouped_3,ok,,100,20,3,22.6507,22.7152,22.4853,22.8704,23.3458,0.468106,0.0986649,0.0206076,,0,44148.8,25683968,96468992,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,dsa_block,eager,cuda_event_per_iter,ok,,100,20,1,119.824,121.009,117.376,126.992,136.922,3.88355,2.512,0.0320931,,0,8345.57,25741312,96468992,2.0512e+06,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,indexer_score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.60457,7.6176,7.54286,7.67154,7.77038,0.0640935,0.0502861,0.00841388,,0,131500,10010112,48234496,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,indexer_select,cudagraph,cuda_event_per_iter,ok,,100,20,1,52.736,52.7645,52.384,53.12,53.5408,0.230661,0.192001,0.00437152,,0,18962.4,10010112,50331648,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,index_map,cudagraph,cuda_event_grouped_14,ok,,100,20,14,3.15657,4.17141,3.07657,3.35109,4.75374,9.85963,0.0502858,2.36362,,0,316799,10010112,50331648,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,sparse_mla_attend,cudagraph,cuda_event_grouped_3,ok,,100,20,3,20.3787,20.395,20.2347,20.4912,20.8608,0.144391,0.0960007,0.00707974,,0,49070.9,10010112,67108864,,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,8192,128,64,2048,0,dsa_block,cudagraph,cuda_event_per_iter,ok,,100,20,1,81.536,81.7651,75.488,86.9488,88.663,3.1943,4.48,0.0390667,,0,12264.5,10010112,83886080,2.0512e+06,,64,dsa_block|B1|N8192
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,indexer_score,eager,cuda_event_grouped_3,ok,,100,20,3,17.7493,17.8348,17.4507,18.2192,20.2387,0.434383,0.176,0.0243559,,0,56340.1,17730048,75497472,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,indexer_select,eager,cuda_event_per_iter,ok,,100,20,1,94.88,94.9642,94.368,95.2656,97.0448,0.556987,0.288002,0.00586523,,0,10539.6,17688064,75497472,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,index_map,eager,cuda_event_grouped_2,ok,,100,20,2,31.712,31.8115,30.384,33.54,35.0885,0.907814,0.827999,0.0285373,,0,31533.8,17671680,75497472,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,sparse_mla_attend,eager,cuda_event_grouped_3,ok,,100,20,3,22.6453,22.6764,22.4533,22.7451,23.8151,0.256332,0.0959982,0.0113039,,0,44159.2,33029120,75497472,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,dsa_block,eager,cuda_event_per_iter,ok,,100,20,1,147.472,147.906,134.24,160.194,167.661,7.40281,9.92,0.0500509,,0,6780.95,33119232,75497472,218209,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,indexer_score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.55886,7.56325,7.48343,7.6208,7.68562,0.0397277,0.0331431,0.00525273,,0,132295,17664512,27262976,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,indexer_select,cudagraph,cuda_event_per_iter,ok,,100,20,1,90.528,90.5235,90.112,90.752,90.8506,0.156767,0.191994,0.00173178,,0,11046.3,17664512,29360128,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,index_map,cudagraph,cuda_event_grouped_14,ok,,100,20,14,3.14857,3.16505,3.07886,3.24617,3.77621,0.0965969,0.0302857,0.0305199,,0,317604,17664512,29360128,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,sparse_mla_attend,cudagraph,cuda_event_grouped_3,ok,,100,20,3,20.576,20.6204,20.416,20.712,21.3474,0.245063,0.0959995,0.0118845,,0,48600.3,17664512,46137344,,,64,dsa_block|B1|N16384
dsablock-full,dsa_block,block_fixed_context,deepgemm_fp8_paged_mqa+flashmla_fp8_sparse_decode,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,fp8_e4m3,1,16384,128,64,2048,0,dsa_block,cudagraph,cuda_event_per_iter,ok,,100,20,1,120.592,121.124,106.304,131.253,136.085,7.07226,9.984,0.0583888,,0,8292.42,17664512,62914560,218209,,64,dsa_block|B1|N16384
