run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,trial,decode_step,stage,graph_mode,timing_method,elapsed_us,status,error,topk_sorted,context_len_actual,block_kv,steps,group_size,warmup,config_id
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,0,,input_norm,eager,cuda_event_grouped_6,8.752,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,1,,input_norm,eager,cuda_event_grouped_6,7.87733,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,2,,input_norm,eager,cuda_event_grouped_6,7.99467,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,3,,input_norm,eager,cuda_event_grouped_6,7.92533,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,4,,input_norm,eager,cuda_event_grouped_6,7.936,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,5,,input_norm,eager,cuda_event_grouped_6,7.92,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,6,,input_norm,eager,cuda_event_grouped_6,7.94667,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,7,,input_norm,eager,cuda_event_grouped_6,7.93067,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,8,,input_norm,eager,cuda_event_grouped_6,7.91467,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,9,,input_norm,eager,cuda_event_grouped_6,7.95733,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,10,,input_norm,eager,cuda_event_grouped_6,7.89333,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,11,,input_norm,eager,cuda_event_grouped_6,7.872,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,12,,input_norm,eager,cuda_event_grouped_6,7.86133,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,13,,input_norm,eager,cuda_event_grouped_6,7.94133,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,14,,input_norm,eager,cuda_event_grouped_6,7.95733,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,15,,input_norm,eager,cuda_event_grouped_6,7.952,ok,,0,8192,64,,6,10,layer_moe|B1|N8192
