run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,topk_sorted,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,input_norm,eager,cuda_event_grouped_6,ok,,50,10,6,7.95733,7.97493,7.86133,8.06747,8.42795,0.123941,0.0626665,0.0155414,,0,125670,23090588672,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,q_down,eager,cuda_event_grouped_3,ok,,50,10,3,19.5413,19.7385,19.04,21.1691,22.562,0.73915,0.264,0.0374472,,0,51173.6,23090580480,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,q_up,eager,cuda_event_grouped_2,ok,,50,10,2,45.04,45.1354,44.496,45.64,47.2784,0.609579,0.52,0.0135056,,0,22202.5,23090622976,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,q_absorb,eager,cuda_event_per_iter,ok,,50,10,1,60.032,61.2326,58.336,66.3488,71.1488,2.95703,3.176,0.0482918,,0,16657.8,23090868736,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,kv_down,eager,cuda_event_per_iter,ok,,50,10,1,68.672,72.2624,67.52,75.128,149.25,21.0784,1.12,0.291692,,0,14562,23090578432,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,indexer_proj,eager,cuda_event_per_iter,ok,,50,10,1,63.408,63.872,62.56,67.5776,70.3347,1.68089,0.591999,0.0263166,,0,15770.9,23090619904,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,kv_append,eager,cuda_event_per_iter,ok,,50,10,1,155.088,158.245,153.408,167.744,175.505,5.921,7.552,0.0374167,,0,6447.95,23090579456,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,indexer_score,eager,cuda_event_grouped_3,ok,,50,10,3,16.6453,16.7678,16.3627,17.5653,18.4063,0.397276,0.165333,0.0236928,,0,60076.9,23090608640,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,indexer_select,eager,cuda_event_grouped_2,ok,,50,10,2,43.616,43.6544,43.248,43.776,45.2102,0.430443,0.160001,0.00986025,,0,22927.4,23090598400,23127392256,,,64,layer_moe|B1|N8192
layer-full,decoder_layer,layer_moe,deepseek_v32_layer,78b69000794d0937b47ae3387eff7663410264d1|ba89a3466e9470ad08ab39738d4e7bb66989e1e7,bf16_weights_fp8_kv,1,8192,7168,64,2048,0,index_map,eager,cuda_event_grouped_2,ok,,50,10,2,26.8,27.3702,25.232,30.3136,32.7816,1.70197,1.548,0.0621832,,0,37313.4,23090582016,23127392256,,,64,layer_moe|B1|N8192
