num_experts,table_bytes,table_over_l2,score_us,select_us,eff_read_tbps
1024,8388608,0.16,9.538,12.426,0.88
2048,16777216,0.32,11.024,15.749,1.522
4096,33554432,0.64,11.691,22.509,2.87
6144,50331648,0.96,31.263,32.784,1.61
8192,67108864,1.28,39.303,35.838,1.707
12288,100663296,1.92,56.31,53.249,1.788
16384,134217728,2.56,74.49,68.505,1.802
24576,201326592,3.84,112.713,45.566,1.786
32768,268435456,5.12,147.449,44.716,1.821
49152,402653184,7.68,223.291,45.478,1.803
65536,536870912,10.24,285.957,46.506,1.877
131072,1073741824,20.48,577.747,50.032,1.858
262144,2147483648,40.96,1163.738,56.923,1.845
524288,4294967296,81.92,2316.521,68.559,1.854
1048576,8589934592,163.84,4618.429,84.871,1.86
