run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,topk_sorted,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,eager,cuda_event_grouped_5,ok,,100,20,5,10.7392,10.7406,10.1696,11.2211,11.9995,0.402195,0.4304,0.0374462,,0,93116.8,35792384,56623104,,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,eager,cuda_event_grouped_7,ok,,100,20,7,6.61486,6.77326,6.34057,7.37531,8.42304,0.422878,0.504,0.0624335,,0,151175,35793408,56623104,,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,17.8133,17.9737,17.3227,18.5739,21.363,0.669788,0.383999,0.037265,,0,56137.7,35793408,56623104,8071.39,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.81257,7.81545,7.73029,7.86309,8.10149,0.0554186,0.037714,0.0070909,,0,127999,102902272,125829120,,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,cudagraph,cuda_event_grouped_8,ok,,100,20,8,6,6.06576,5.136,6.92,6.94848,0.529275,0.77,0.0872562,,0,166667,102902272,127926272,,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,cudagraph,cuda_event_grouped_4,ok,,100,20,4,12.904,12.9392,11.92,13.6536,13.9786,0.438095,0.48,0.033858,,0,77495.4,136456704,163577856,8071.39,,,torch_flat_router|B1|E16|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,score,eager,cuda_event_grouped_5,ok,,100,20,5,11.0816,11.1731,10.6944,11.8598,12.8588,0.400154,0.384,0.035814,,0,90239.7,136849408,161480704,,,,torch_flat_router|B1|E64|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,select,eager,cuda_event_grouped_7,ok,,100,20,7,7.488,7.51762,6.93486,7.85829,7.93938,0.296583,0.461715,0.0394516,,0,133547,136850432,161480704,,,,torch_flat_router|B1|E64|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,combined,eager,cuda_event_grouped_4,ok,,100,20,4,17.92,18.1986,17.176,19.3696,21.3697,0.841532,1.138,0.0462417,,0,55803.6,136850432,161480704,241.312,,,torch_flat_router|B1|E64|D4096
router-full-v2,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.71657,7.72283,7.65257,7.78994,7.80846,0.035622,0.0422855,0.00461256,,0,129591,170404864,192937984,,,,torch_flat_router|B1|E64|D4096
