run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,trial,decode_step,stage,graph_mode,timing_method,elapsed_us,status,error,context_len_actual,block_kv,steps,group_size,warmup,config_id
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,0,,score,eager,cuda_event_grouped_5,11.0336,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,1,,score,eager,cuda_event_grouped_5,10.7904,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,2,,score,eager,cuda_event_grouped_5,10.6816,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,3,,score,eager,cuda_event_grouped_5,10.8992,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,4,,score,eager,cuda_event_grouped_5,10.624,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,5,,score,eager,cuda_event_grouped_5,10.5664,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,6,,score,eager,cuda_event_grouped_5,10.592,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,7,,score,eager,cuda_event_grouped_5,10.7008,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,8,,score,eager,cuda_event_grouped_5,10.6048,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,9,,score,eager,cuda_event_grouped_5,10.7904,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,10,,score,eager,cuda_event_grouped_5,11.5584,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,11,,score,eager,cuda_event_grouped_5,10.3872,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,12,,score,eager,cuda_event_grouped_5,10.6944,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,13,,score,eager,cuda_event_grouped_5,10.816,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,14,,score,eager,cuda_event_grouped_5,10.4832,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,15,,score,eager,cuda_event_grouped_5,10.496,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,16,,score,eager,cuda_event_grouped_5,10.7584,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,17,,score,eager,cuda_event_grouped_5,10.6176,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,18,,score,eager,cuda_event_grouped_5,10.4896,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,19,,score,eager,cuda_event_grouped_5,10.848,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,20,,score,eager,cuda_event_grouped_5,10.528,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,21,,score,eager,cuda_event_grouped_5,10.688,ok,,,,,5,20,torch_flat_router|B1|E16|D4096
