num_experts,table_bytes,table_over_l2,score_us,select_us,eff_read_tbps
1024,8388608,0.16,10.654,17.655,0.787
2048,16777216,0.32,11.588,20.955,1.448
4096,33554432,0.64,11.475,27.647,2.924
6144,50331648,0.96,31.186,37.863,1.614
8192,67108864,1.28,39.088,40.858,1.717
12288,100663296,1.92,56.056,58.135,1.796
16384,134217728,2.56,74.213,73.278,1.809
24576,201326592,3.84,111.53,50.81,1.805
32768,268435456,5.12,149.258,49.285,1.798
49152,402653184,7.68,222.433,51.198,1.81
65536,536870912,10.24,287.113,50.162,1.87
131072,1073741824,20.48,579.036,53.134,1.854
262144,2147483648,40.96,1162.39,59.815,1.847
524288,4294967296,81.92,2312.012,70.903,1.858
1048576,8589934592,163.84,4621.938,85.063,1.859
