run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,eager,cuda_event_grouped_5,ok,,100,20,5,10.5952,10.6205,10.0032,11.1693,12.0678,0.511096,0.4464,0.0481236,,94382.4,35792384,56623104,,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,eager,cuda_event_grouped_4,ok,,100,20,4,12.748,12.9198,11.8,13.7232,16.0819,0.753348,0.728,0.0583097,,78443.7,35793408,56623104,,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,23.0453,23.1435,21.9947,24.0016,27.0626,0.925814,0.674667,0.0400033,,43392.7,35793408,56623104,8164.45,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.72114,7.71973,7.61143,7.76686,7.78066,0.0289246,0.029714,0.00374685,,129515,102902272,125829120,,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,cudagraph,cuda_event_grouped_5,ok,,100,20,5,11.1936,11.2405,10.304,12.0512,12.0771,0.514741,0.7936,0.0457934,,89336.8,102902272,127926272,,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,cudagraph,cuda_event_grouped_3,ok,,100,20,3,17.9573,17.962,16.96,18.6565,18.9149,0.429432,0.522667,0.0239077,,55687.6,136456704,163577856,8164.45,,,torch_flat_router|B1|E16|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,score,eager,cuda_event_grouped_6,ok,,100,20,6,11.0987,11.0801,10.0427,11.5869,12.4898,0.403164,0.393333,0.0363863,,90100.9,136849408,161480704,,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,select,eager,cuda_event_grouped_4,ok,,100,20,4,13.908,14.0818,13.176,14.454,16.7034,1.16959,0.448,0.0830565,,71901.1,136850432,161480704,,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,25.344,25.4755,23.104,27.9168,28.6325,1.14742,0.682667,0.0450402,,39457.1,136850432,161480704,238.048,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.76686,7.76768,7.69829,7.80846,7.82825,0.0373221,0.0411432,0.00480479,,128752,170404864,192937984,,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,select,cudagraph,cuda_event_grouped_5,ok,,100,20,5,12,12.01,11.392,12.3907,12.4098,0.287494,0.456,0.0239377,,83333.3,170404864,195035136,,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,64,4096,,8,0,combined,cudagraph,cuda_event_grouped_3,ok,,100,20,3,18.5547,18.5117,17.7067,19.0293,19.0622,0.320181,0.544,0.0172962,,53894.8,203959296,230686720,238.048,,,torch_flat_router|B1|E64|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,score,eager,cuda_event_grouped_6,ok,,100,20,6,11.1893,10.8687,10.0747,11.416,12.012,0.591041,1.03467,0.0543799,,89370.8,205534208,228589568,,,,torch_flat_router|B1|E256|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,select,eager,cuda_event_grouped_4,ok,,100,20,4,14.688,14.6264,13.752,15.1532,15.2246,0.396799,0.57,0.027129,,68082.8,205535232,228589568,,,,torch_flat_router|B1|E256|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,25.1627,25.2853,24.0853,25.9963,26.6899,0.583634,0.605335,0.0230819,,39741.4,205535232,228589568,220.32,,,torch_flat_router|B1|E256|D4096
router-full,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,8.14171,8.14784,8.09143,8.18811,8.21518,0.0262103,0.0274282,0.00321684,,122824,239089664,260046848,,,,torch_flat_router|B1|E256|D4096
