run_id,workload,mode,backend,backend_commit,dtype,batch_size,candidate_count,dimension,indexer_heads,k,seed,stage,graph_mode,timing_method,status,error,n_samples,warmup,group_size,median_us,mean_us,min_us,p95_us,p99_us,stdev_us,iqr_us,cv,host_median_us,throughput_qps,peak_allocated_bytes,peak_reserved_bytes,setup_us,steps,block_kv,config_id
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,eager,cuda_event_grouped_5,ok,,100,20,5,10.4864,10.4926,9.9776,10.928,11.509,0.339156,0.4192,0.0323233,,95361.6,35792384,56623104,,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,eager,cuda_event_grouped_4,ok,,100,20,4,12.504,12.5627,11.552,13.3092,13.5127,0.548209,0.755999,0.0436377,,79974.4,35793408,56623104,,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,22.9653,23.0365,21.984,24.7339,27.0327,0.900736,0.802668,0.0391004,,43543.9,35793408,56623104,8013.5,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,7.73029,7.73271,7.63886,7.80343,7.81746,0.0378504,0.0502856,0.00489484,,129361,102902272,125829120,,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,select,cudagraph,cuda_event_grouped_5,ok,,100,20,5,11.2064,11.2129,10.2848,12.0384,12.0836,0.517201,0.7712,0.0461257,,89234.7,102902272,127926272,,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,16,4096,,8,0,combined,cudagraph,cuda_event_grouped_3,ok,,100,20,3,17.952,17.9919,16.96,18.7947,19.1794,0.441914,0.485333,0.0245618,,55704.1,136456704,163577856,8013.5,,,torch_flat_router|B1|E16|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,score,eager,cuda_event_grouped_5,ok,,100,20,5,10.3904,10.4534,10.2592,10.7347,12.1605,0.278511,0.1088,0.026643,,96242.7,138425344,161480704,,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,select,eager,cuda_event_grouped_4,ok,,100,20,4,14.36,14.324,13.416,14.8416,15.0756,0.437026,0.396,0.0305101,,69637.9,138426368,161480704,,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,combined,eager,cuda_event_grouped_3,ok,,100,20,3,24.0907,24.1958,23.232,25.008,27.8653,0.699206,0.541332,0.0288978,,41509.9,138426368,161480704,236,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,score,cudagraph,cuda_event_grouped_7,ok,,100,20,7,8.24686,8.2432,8.16914,8.29257,8.30642,0.0281127,0.0320002,0.00341041,,121258,171980800,192937984,,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,select,cudagraph,cuda_event_grouped_4,ok,,100,20,4,12.888,12.8275,11.992,13.3364,13.4162,0.397123,0.54,0.0309587,,77591.6,171980800,195035136,,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,256,4096,,8,0,combined,cudagraph,cuda_event_grouped_3,ok,,100,20,3,19.616,19.6075,18.816,20.1819,20.2989,0.347599,0.450666,0.0177279,,50978.8,205535232,230686720,236,,,torch_flat_router|B1|E256|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,score,eager,cuda_event_grouped_4,ok,,100,20,4,13.576,13.6083,13.392,13.7128,14.2479,0.245702,0.0920007,0.0180553,,73659.4,237068288,262144000,,,,torch_flat_router|B1|E4096|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,select,eager,cuda_event_grouped_2,ok,,100,20,2,31.04,31.0978,29.92,32.0032,32.2099,0.674393,1.128,0.0216862,,32216.5,237069312,262144000,,,,torch_flat_router|B1|E4096|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,combined,eager,cuda_event_grouped_2,ok,,100,20,2,43.984,43.812,40.72,45.8728,46.1149,1.37223,2.052,0.0313208,,22735.5,237069312,262144000,287.744,,,torch_flat_router|B1|E4096|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,score,cudagraph,cuda_event_grouped_5,ok,,100,20,5,12.2464,12.2489,12.1536,12.327,12.3777,0.0468354,0.0576004,0.00382364,,81656.6,270623744,293601280,,,,torch_flat_router|B1|E4096|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,select,cudagraph,cuda_event_grouped_2,ok,,100,20,2,28.648,28.6835,27.536,29.6008,29.7691,0.741367,1.076,0.0258464,,34906.5,270623744,295698432,,,,torch_flat_router|B1|E4096|D4096
router-quick,router,flat_router_decode,torch_flat_router,,bf16,1,4096,4096,,8,0,combined,cudagraph,cuda_event_grouped_2,ok,,100,20,2,39.76,39.6866,37.056,42.016,42.096,1.19628,1.572,0.0301431,,25150.9,304178176,331350016,287.744,,,torch_flat_router|B1|E4096|D4096
