warps_per_sm,lanes_per_warp,chains,cycles_per_hop_med,cycles_per_hop_p95,elapsed_H2_us_med,loads_per_s_med
1,1,114,697.759,704.925,208.512,287213929.995
1,2,228,774.394,783.607,230.784,516811481.632
1,4,456,892.271,897.097,261.984,897785024.086
1,8,912,982.069,984.848,290.176,1630512486.095
1,16,1824,1006.200,1015.706,307.328,3181857723.621
1,32,3648,1106.381,1112.524,345.344,5787414178.318
2,1,228,712.823,718.380,212.896,561691663.188
2,2,456,827.921,834.064,243.808,966784448.135
2,4,912,919.474,926.640,272.352,1740734874.828
2,8,1824,936.878,942.727,286.624,3417863780.872
2,16,3648,1023.458,1027.260,321.344,6257289922.167
2,32,7296,1263.015,1269.158,393.888,10139201364.147
4,1,456,761.524,767.520,224.896,1051094854.924
4,2,912,853.223,858.049,253.280,1876221366.380
4,4,1824,875.452,881.887,268.352,3657754195.605
4,8,3648,954.135,962.764,300.928,6715140311.613
4,16,7296,1189.305,1192.522,372.576,10769004034.368
4,32,14592,1809.698,1816.132,554.816,14156682156.686
8,1,912,781.560,785.363,232.736,2048287413.119
8,2,1824,812.565,815.929,249.152,3942363017.724
8,4,3648,894.026,898.706,282.432,7163475193.506
8,8,7296,1124.516,1130.951,353.984,11388137898.964
8,16,14592,1756.024,1759.680,539.424,14584707463.965
8,32,29184,3205.361,3215.891,958.912,15980287523.881
16,1,1824,744.120,752.017,229.184,4302732383.348
16,2,3648,829.676,833.771,263.168,7717912712.221
16,4,7296,1060.459,1064.115,336.000,12076137502.881
16,8,14592,1710.540,1714.342,524.800,14977674734.281
16,16,29184,3180.499,3192.637,951.872,16105960417.394
16,32,58368,6312.004,6328.238,1865.792,16229863104.452
32,1,3648,764.010,769.714,243.232,8382995103.186
32,2,7296,998.156,1004.299,318.208,12837535762.269
32,4,14592,1666.811,1675.001,510.560,15369438128.698
32,8,29184,3169.384,3183.277,949.248,16162451431.983
32,16,58368,6313.759,6330.431,1866.272,16226104429.359
32,32,116736,12587.591,12659.985,3697.216,16278144887.952
